file,tau,redrafts,advances,rejects,call_ratio
cubeX10_t30_seed42.log,0.3,582,118,350,0.831
cubeX10_t30_seed43.log,0.3,622,158,389,0.797
cubeX10_t30_seed44.log,0.3,686,148,420,0.823
cubeX10_t30_seed45.log,0.3,579,146,311,0.799
cubeX_2274057_0.log,0.2,610,64,359,0.905
cubeX_2274057_1.log,0.2,565,90,342,0.863
cubeX_2274057_2.log,0.2,695,121,430,0.852
cubeX_2274057_3.log,0.2,623,97,348,0.865
cubeX_2274057_4.log,0.2,449,86,314,0.839
cubeX_2274057_5.log,0.2,439,94,307,0.824
cubeX_2274057_6.log,0.2,423,103,292,0.804
cubeX_2274057_7.log,0.2,367,79,236,0.823
cubeX_gc10_gate_seed42.log,0.2,610,64,359,0.905
cubeX_gc10_gate_seed43.log,0.2,565,90,342,0.863
cubeX_gc10_gate_seed44.log,0.2,695,121,430,0.852
cubeX_gc10_gate_seed45.log,0.2,623,97,348,0.865
cubeX_gc15_rh5_seed42.log,0.2,449,86,314,0.839
cubeX_gc15_rh5_seed43.log,0.2,439,94,307,0.824
cubeX_gc15_rh5_seed44.log,0.2,423,103,292,0.804
cubeX_gc15_rh5_seed45.log,0.2,367,79,236,0.823
dwm_bat15_2299902_4.log,0.121,100,0,50,2.000
dwm_bat15_2299902_4.log,0.121,149,1,99,1.490
dwm_bat15_2299902_5.log,0.121,100,0,50,2.000
dwm_bat15_2299902_5.log,0.121,149,1,99,1.490
dwm_bat15_2299902_6.log,0.121,100,0,50,2.000
dwm_bat15_2299902_6.log,0.121,150,0,100,1.500
dwm_bat15_2299902_7.log,0.121,100,0,50,2.000
dwm_bat15_2299902_7.log,0.121,149,1,99,1.490
dwm_bat15_h15_spec_s100.log,0.121,100,0,50,2.000
dwm_bat15_h15_spec_s100.log,0.121,149,1,99,1.490
dwm_bat15_h15_spec_s101.log,0.121,100,0,50,2.000
dwm_bat15_h15_spec_s101.log,0.121,150,0,100,1.500
dwm_bat15_h15_spec_s102.log,0.121,100,0,50,2.000
dwm_bat15_h15_spec_s102.log,0.121,149,1,99,1.490
dwm_bat15_h15_spec_s99.log,0.121,100,0,50,2.000
dwm_bat15_h15_spec_s99.log,0.121,149,1,99,1.490
dwm_gatetest_2301459_2.log,0.121,40,0,20,2.000
dwm_gatetest_2301459_2.log,0.121,59,1,39,1.475
dwm_gatetest_2301459_2.log,0.121,79,1,59,1.317
dwm_gatetest_2301459_2.log,0.121,99,1,79,1.238
dwm_gatetest_2301459_2.log,0.121,119,1,99,1.190
dwm_gatetest_2301459_2.log,0.121,139,1,119,1.158
