[mask] train episodes: 8000/10000 (holdout = 2000)
=== train gdm_reacher_s10_goalfree.pt (faithful recipe, NO goal-cond, eps<8000) ===
[cfg] {'subgoals': 'subgoals_reacher_dense.pt', 'out': 'gdm_reacher_s10_goalfree.pt', 'device': 'cuda', 'seed': 42, 'mask': 'custom', 'custom_mask_file': 'reacher_train_mask.npy', 'window_rule': 'clamp', 'subgoal_step': 10, 'latent_dim': 192, 'n_future': 3, 'wg': 1, 'hidden': 512, 'depth': 11, 'heads': 8, 'mlp_ratio': 4.0, 'goal_cond': False, 'goal_rule': 'final', 'goal_gap': None, 'goal_gap_max': None, 'timesteps': 1000, 'parameterization': 'eps', 'schedule': 'linear', 'min_snr_gamma': 0.0, 'sampler': 'ddim', 'normalization': 'standardize', 'epochs': 20, 'batch_size': 128, 'lr': 5e-05, 'weight_decay': 0.001, 'grad_clip': 1.0, 'lr_schedule': 'warmup_cosine', 'warmup_frac': 0.01, 'amp': True, 'ema_decay': 0.0, 'num_workers': 0, 'log_every': 500}
[data] mask=customdeg: 8000 episodes used; 1600000 (cond,target) pairs; window_rule=clamp; file_stride=1 subgoal_step=10 => subgoal horizon = 10 frames
[norm] native ||z|| mean=13.79 (sqrt(D)=13.86); standardize per-dim (mean|.|=0.035, std mean=0.993)
[model] GDM (DiT) head params = 53.34M (hidden=512 depth=11 heads=8); diffusion T=1000 param=eps schedule=linear sampler=ddim norm=standardize min_snr_gamma=0.0
[sched] warmup_cosine: total_steps=250000 warmup=2500 peak_lr=5.0e-05 -> 0 (eta_min)
  [iter 52500] loss=0.01203 (run 0.01714, 3169s, 60ms/it)
  [iter 53000] loss=0.01061 (run 0.01713, 3199s, 60ms/it)
  [iter 53500] loss=0.01002 (run 0.01708, 3228s, 60ms/it)
  [iter 54000] loss=0.01337 (run 0.01705, 3257s, 60ms/it)
  [iter 54500] loss=0.02553 (run 0.01702, 3286s, 60ms/it)
  [iter 55000] loss=0.01699 (run 0.01701, 3316s, 60ms/it)
  [iter 55500] loss=0.01523 (run 0.01697, 3345s, 60ms/it)
  [iter 56000] loss=0.01392 (run 0.01695, 3375s, 60ms/it)
  [iter 56500] loss=0.01328 (run 0.01695, 3406s, 60ms/it)
  [iter 57000] loss=0.01522 (run 0.01694, 3435s, 60ms/it)
  [iter 57500] loss=0.01596 (run 0.01692, 3465s, 60ms/it)
  [iter 58000] loss=0.01709 (run 0.01688, 3495s, 60ms/it)
  [iter 58500] loss=0.01672 (run 0.01685, 3525s, 60ms/it)
  [iter 59000] loss=0.01592 (run 0.01682, 3554s, 60ms/it)
  [iter 59500] loss=0.01956 (run 0.01678, 3584s, 60ms/it)
  [iter 60000] loss=0.01590 (run 0.01675, 3613s, 60ms/it)
  [iter 60500] loss=0.01454 (run 0.01675, 3643s, 60ms/it)
  [iter 61000] loss=0.01244 (run 0.01671, 3673s, 60ms/it)
  [iter 61500] loss=0.01365 (run 0.01668, 3703s, 60ms/it)
  [iter 62000] loss=0.01774 (run 0.01665, 3732s, 60ms/it)
  [iter 62500] loss=0.01346 (run 0.01662, 3762s, 60ms/it)
[epoch 05/20] loss=0.01662 iters=62500 (3762s)
  [iter 63000] loss=0.01282 (run 0.01615, 3791s, 60ms/it)
  [iter 63500] loss=0.01426 (run 0.01611, 3821s, 60ms/it)
  [iter 64000] loss=0.01634 (run 0.01606, 3851s, 60ms/it)
  [iter 64500] loss=0.01160 (run 0.01604, 3880s, 60ms/it)
  [iter 65000] loss=0.01766 (run 0.01605, 3910s, 60ms/it)
  [iter 65500] loss=0.01484 (run 0.01597, 3940s, 60ms/it)
  [iter 66000] loss=0.01939 (run 0.01595, 3969s, 60ms/it)
  [iter 66500] loss=0.02290 (run 0.01588, 3999s, 60ms/it)
  [iter 67000] loss=0.01291 (run 0.01582, 4028s, 60ms/it)
  [iter 67500] loss=0.01341 (run 0.01583, 4058s, 60ms/it)
  [iter 68000] loss=0.01698 (run 0.01577, 4088s, 60ms/it)
  [iter 68500] loss=0.02161 (run 0.01577, 4118s, 60ms/it)
  [iter 69000] loss=0.01731 (run 0.01578, 4148s, 60ms/it)
  [iter 69500] loss=0.01811 (run 0.01578, 4177s, 60ms/it)
  [iter 70000] loss=0.01693 (run 0.01574, 4207s, 60ms/it)
  [iter 70500] loss=0.01750 (run 0.01572, 4237s, 60ms/it)
  [iter 71000] loss=0.01471 (run 0.01569, 4267s, 60ms/it)
  [iter 71500] loss=0.01069 (run 0.01564, 4297s, 60ms/it)
  [iter 72000] loss=0.01797 (run 0.01562, 4326s, 60ms/it)
  [iter 72500] loss=0.01404 (run 0.01559, 4356s, 60ms/it)
  [iter 73000] loss=0.01397 (run 0.01558, 4386s, 60ms/it)
  [iter 73500] loss=0.01317 (run 0.01556, 4415s, 60ms/it)
  [iter 74000] loss=0.01421 (run 0.01554, 4445s, 60ms/it)
  [iter 74500] loss=0.01107 (run 0.01551, 4474s, 60ms/it)
  [iter 75000] loss=0.01416 (run 0.01551, 4504s, 60ms/it)
[epoch 06/20] loss=0.01551 iters=75000 (4504s)
  [iter 75500] loss=0.01159 (run 0.01480, 4534s, 60ms/it)
  [iter 76000] loss=0.02015 (run 0.01497, 4563s, 60ms/it)
  [iter 76500] loss=0.01263 (run 0.01498, 4593s, 60ms/it)
  [iter 77000] loss=0.01749 (run 0.01494, 4623s, 60ms/it)
  [iter 77500] loss=0.01612 (run 0.01488, 4653s, 60ms/it)
  [iter 78000] loss=0.01043 (run 0.01484, 4683s, 60ms/it)
  [iter 78500] loss=0.01639 (run 0.01488, 4713s, 60ms/it)
  [iter 79000] loss=0.01408 (run 0.01482, 4742s, 60ms/it)
  [iter 79500] loss=0.01435 (run 0.01483, 4772s, 60ms/it)
  [iter 80000] loss=0.01902 (run 0.01479, 4802s, 60ms/it)
  [iter 80500] loss=0.01679 (run 0.01479, 4832s, 60ms/it)
  [iter 81000] loss=0.01112 (run 0.01478, 4861s, 60ms/it)
  [iter 81500] loss=0.01383 (run 0.01477, 4891s, 60ms/it)
  [iter 82000] loss=0.02240 (run 0.01478, 4920s, 60ms/it)
  [iter 82500] loss=0.01240 (run 0.01476, 4950s, 60ms/it)
  [iter 83000] loss=0.01990 (run 0.01474, 4980s, 60ms/it)
  [iter 83500] loss=0.00955 (run 0.01471, 5009s, 60ms/it)
  [iter 84000] loss=0.01716 (run 0.01470, 5039s, 60ms/it)
  [iter 84500] loss=0.01126 (run 0.01469, 5068s, 60ms/it)
  [iter 85000] loss=0.01771 (run 0.01469, 5098s, 60ms/it)
  [iter 85500] loss=0.01338 (run 0.01467, 5128s, 60ms/it)
  [iter 86000] loss=0.01265 (run 0.01465, 5157s, 60ms/it)
  [iter 86500] loss=0.01997 (run 0.01464, 5187s, 60ms/it)
  [iter 87000] loss=0.01690 (run 0.01463, 5217s, 60ms/it)
  [iter 87500] loss=0.01582 (run 0.01461, 5247s, 60ms/it)
[epoch 07/20] loss=0.01461 iters=87500 (5247s)
  [iter 88000] loss=0.01200 (run 0.01418, 5277s, 60ms/it)
  [iter 88500] loss=0.01354 (run 0.01418, 5307s, 60ms/it)
  [iter 89000] loss=0.01197 (run 0.01423, 5337s, 60ms/it)
  [iter 89500] loss=0.01166 (run 0.01423, 5367s, 60ms/it)
  [iter 90000] loss=0.01884 (run 0.01420, 5397s, 60ms/it)
  [iter 90500] loss=0.01611 (run 0.01419, 5427s, 60ms/it)
  [iter 91000] loss=0.01933 (run 0.01418, 5456s, 60ms/it)
  [iter 91500] loss=0.01179 (run 0.01416, 5486s, 60ms/it)
  [iter 92000] loss=0.01794 (run 0.01413, 5516s, 60ms/it)
  [iter 92500] loss=0.01277 (run 0.01412, 5546s, 60ms/it)
  [iter 93000] loss=0.01682 (run 0.01409, 5575s, 60ms/it)
  [iter 93500] loss=0.01009 (run 0.01408, 5605s, 60ms/it)
  [iter 94000] loss=0.01051 (run 0.01407, 5635s, 60ms/it)
  [iter 94500] loss=0.01111 (run 0.01407, 5664s, 60ms/it)
  [iter 95000] loss=0.01508 (run 0.01405, 5694s, 60ms/it)
  [iter 95500] loss=0.00941 (run 0.01403, 5724s, 60ms/it)
  [iter 96000] loss=0.02044 (run 0.01404, 5754s, 60ms/it)
  [iter 96500] loss=0.01681 (run 0.01399, 5784s, 60ms/it)
  [iter 97000] loss=0.01302 (run 0.01398, 5813s, 60ms/it)
  [iter 97500] loss=0.01245 (run 0.01397, 5843s, 60ms/it)
  [iter 98000] loss=0.01632 (run 0.01395, 5873s, 60ms/it)
  [iter 98500] loss=0.00985 (run 0.01392, 5902s, 60ms/it)
  [iter 99000] loss=0.02172 (run 0.01393, 5932s, 60ms/it)
  [iter 99500] loss=0.01850 (run 0.01392, 5962s, 60ms/it)
  [iter 100000] loss=0.00861 (run 0.01390, 5992s, 60ms/it)
[epoch 08/20] loss=0.01390 iters=100000 (5992s)
  [iter 100500] loss=0.01321 (run 0.01361, 6021s, 60ms/it)
  [iter 101000] loss=0.01243 (run 0.01364, 6051s, 60ms/it)
  [iter 101500] loss=0.01963 (run 0.01362, 6081s, 60ms/it)
  [iter 102000] loss=0.01325 (run 0.01354, 6111s, 60ms/it)
  [iter 102500] loss=0.01736 (run 0.01349, 6140s, 60ms/it)
  [iter 103000] loss=0.01216 (run 0.01343, 6170s, 60ms/it)
  [iter 103500] loss=0.01986 (run 0.01344, 6200s, 60ms/it)
  [iter 104000] loss=0.01088 (run 0.01345, 6229s, 60ms/it)
  [iter 104500] loss=0.01200 (run 0.01348, 6259s, 60ms/it)
  [iter 105000] loss=0.01758 (run 0.01347, 6288s, 60ms/it)
  [iter 105500] loss=0.01505 (run 0.01345, 6318s, 60ms/it)
  [iter 106000] loss=0.01045 (run 0.01345, 6347s, 60ms/it)
  [iter 106500] loss=0.01288 (run 0.01342, 6377s, 60ms/it)
