=== train gdm_stride25.pt (faithful recipe, subgoal-step 25 ) ===
[cfg] {'subgoals': 'subgoals_dense_full.pt', 'out': 'gdm_stride25.pt', 'device': 'cuda', 'seed': 42, 'mask': '5', 'custom_mask_file': None, 'window_rule': 'clamp', 'subgoal_step': 25, 'latent_dim': 192, 'n_future': 3, 'wg': 1, 'hidden': 512, 'depth': 11, 'heads': 8, 'mlp_ratio': 4.0, 'goal_cond': False, 'goal_rule': 'final', 'goal_gap': None, 'goal_gap_max': None, 'timesteps': 1000, 'parameterization': 'eps', 'schedule': 'linear', 'min_snr_gamma': 0.0, 'sampler': 'ddim', 'normalization': 'standardize', 'epochs': 20, 'batch_size': 128, 'lr': 5e-05, 'weight_decay': 0.001, 'grad_clip': 1.0, 'lr_schedule': 'warmup_cosine', 'warmup_frac': 0.01, 'amp': True, 'ema_decay': 0.0, 'num_workers': 0, 'log_every': 500}
[data] mask=5deg: 9094 episodes used; 1100325 (cond,target) pairs; window_rule=clamp; file_stride=1 subgoal_step=25 => subgoal horizon = 25 frames
[norm] native ||z|| mean=13.48 (sqrt(D)=13.86); standardize per-dim (mean|.|=0.133, std mean=0.956)
[model] GDM (DiT) head params = 53.34M (hidden=512 depth=11 heads=8); diffusion T=1000 param=eps schedule=linear sampler=ddim norm=standardize min_snr_gamma=0.0
[sched] warmup_cosine: total_steps=171940 warmup=1719 peak_lr=5.0e-05 -> 0 (eta_min)
  [iter 51000] loss=0.01576 (run 0.02156, 3119s, 61ms/it)
  [iter 51500] loss=0.02212 (run 0.02151, 3149s, 61ms/it)
[epoch 06/20] loss=0.02150 iters=51582 (3154s)
  [iter 52000] loss=0.02193 (run 0.01996, 3180s, 61ms/it)
  [iter 52500] loss=0.02946 (run 0.02019, 3210s, 61ms/it)
  [iter 53000] loss=0.02006 (run 0.02053, 3241s, 61ms/it)
  [iter 53500] loss=0.02451 (run 0.02044, 3271s, 61ms/it)
  [iter 54000] loss=0.01879 (run 0.02047, 3302s, 61ms/it)
  [iter 54500] loss=0.01386 (run 0.02044, 3332s, 61ms/it)
  [iter 55000] loss=0.01868 (run 0.02043, 3363s, 61ms/it)
  [iter 55500] loss=0.02759 (run 0.02046, 3393s, 61ms/it)
  [iter 56000] loss=0.01595 (run 0.02045, 3424s, 61ms/it)
  [iter 56500] loss=0.02083 (run 0.02041, 3455s, 61ms/it)
  [iter 57000] loss=0.01542 (run 0.02033, 3485s, 61ms/it)
  [iter 57500] loss=0.01743 (run 0.02029, 3515s, 61ms/it)
  [iter 58000] loss=0.01816 (run 0.02024, 3546s, 61ms/it)
  [iter 58500] loss=0.01472 (run 0.02019, 3576s, 61ms/it)
  [iter 59000] loss=0.01748 (run 0.02015, 3607s, 61ms/it)
  [iter 59500] loss=0.01609 (run 0.02011, 3638s, 61ms/it)
  [iter 60000] loss=0.01480 (run 0.02005, 3669s, 61ms/it)
[epoch 07/20] loss=0.02006 iters=60179 (3680s)
  [iter 60500] loss=0.02537 (run 0.01938, 3699s, 61ms/it)
  [iter 61000] loss=0.01688 (run 0.01944, 3730s, 61ms/it)
  [iter 61500] loss=0.01175 (run 0.01922, 3760s, 61ms/it)
  [iter 62000] loss=0.01193 (run 0.01917, 3791s, 61ms/it)
  [iter 62500] loss=0.02714 (run 0.01920, 3821s, 61ms/it)
  [iter 63000] loss=0.01939 (run 0.01918, 3852s, 61ms/it)
  [iter 63500] loss=0.02763 (run 0.01914, 3882s, 61ms/it)
  [iter 64000] loss=0.02394 (run 0.01917, 3913s, 61ms/it)
  [iter 64500] loss=0.01228 (run 0.01915, 3945s, 61ms/it)
  [iter 65000] loss=0.01987 (run 0.01911, 3975s, 61ms/it)
  [iter 65500] loss=0.01389 (run 0.01907, 4005s, 61ms/it)
  [iter 66000] loss=0.01341 (run 0.01901, 4035s, 61ms/it)
  [iter 66500] loss=0.01549 (run 0.01898, 4065s, 61ms/it)
  [iter 67000] loss=0.01502 (run 0.01896, 4095s, 61ms/it)
  [iter 67500] loss=0.02216 (run 0.01894, 4125s, 61ms/it)
  [iter 68000] loss=0.01478 (run 0.01890, 4155s, 61ms/it)
  [iter 68500] loss=0.01834 (run 0.01888, 4185s, 61ms/it)
[epoch 08/20] loss=0.01884 iters=68776 (4201s)
  [iter 69000] loss=0.01588 (run 0.01809, 4215s, 61ms/it)
  [iter 69500] loss=0.01564 (run 0.01806, 4245s, 61ms/it)
  [iter 70000] loss=0.02567 (run 0.01798, 4275s, 61ms/it)
  [iter 70500] loss=0.01380 (run 0.01806, 4305s, 61ms/it)
  [iter 71000] loss=0.01483 (run 0.01816, 4334s, 61ms/it)
  [iter 71500] loss=0.00943 (run 0.01802, 4364s, 61ms/it)
  [iter 72000] loss=0.02470 (run 0.01797, 4395s, 61ms/it)
  [iter 72500] loss=0.01515 (run 0.01798, 4425s, 61ms/it)
  [iter 73000] loss=0.01538 (run 0.01792, 4455s, 61ms/it)
  [iter 73500] loss=0.01422 (run 0.01791, 4485s, 61ms/it)
  [iter 74000] loss=0.01377 (run 0.01786, 4515s, 61ms/it)
  [iter 74500] loss=0.01353 (run 0.01780, 4545s, 61ms/it)
  [iter 75000] loss=0.01130 (run 0.01775, 4575s, 61ms/it)
  [iter 75500] loss=0.01543 (run 0.01773, 4605s, 61ms/it)
  [iter 76000] loss=0.01619 (run 0.01768, 4634s, 61ms/it)
  [iter 76500] loss=0.01702 (run 0.01766, 4664s, 61ms/it)
  [iter 77000] loss=0.02194 (run 0.01762, 4694s, 61ms/it)
[epoch 09/20] loss=0.01758 iters=77373 (4717s)
  [iter 77500] loss=0.01063 (run 0.01765, 4724s, 61ms/it)
  [iter 78000] loss=0.02122 (run 0.01729, 4755s, 61ms/it)
  [iter 78500] loss=0.01384 (run 0.01710, 4784s, 61ms/it)
  [iter 79000] loss=0.01208 (run 0.01708, 4814s, 61ms/it)
  [iter 79500] loss=0.01643 (run 0.01700, 4844s, 61ms/it)
  [iter 80000] loss=0.01462 (run 0.01698, 4874s, 61ms/it)
  [iter 80500] loss=0.02413 (run 0.01703, 4904s, 61ms/it)
  [iter 81000] loss=0.01735 (run 0.01705, 4934s, 61ms/it)
  [iter 81500] loss=0.00971 (run 0.01701, 4964s, 61ms/it)
  [iter 82000] loss=0.01313 (run 0.01694, 4994s, 61ms/it)
  [iter 82500] loss=0.01774 (run 0.01689, 5024s, 61ms/it)
  [iter 83000] loss=0.01449 (run 0.01682, 5053s, 61ms/it)
  [iter 83500] loss=0.01624 (run 0.01680, 5083s, 61ms/it)
  [iter 84000] loss=0.01317 (run 0.01674, 5113s, 61ms/it)
  [iter 84500] loss=0.00996 (run 0.01673, 5143s, 61ms/it)
  [iter 85000] loss=0.01534 (run 0.01671, 5173s, 61ms/it)
  [iter 85500] loss=0.01108 (run 0.01667, 5203s, 61ms/it)
[epoch 10/20] loss=0.01665 iters=85970 (5231s)
  [iter 86000] loss=0.01245 (run 0.01641, 5233s, 61ms/it)
  [iter 86500] loss=0.01145 (run 0.01654, 5263s, 61ms/it)
  [iter 87000] loss=0.01249 (run 0.01640, 5293s, 61ms/it)
  [iter 87500] loss=0.00980 (run 0.01626, 5323s, 61ms/it)
  [iter 88000] loss=0.01093 (run 0.01619, 5353s, 61ms/it)
  [iter 88500] loss=0.01405 (run 0.01609, 5383s, 61ms/it)
  [iter 89000] loss=0.01632 (run 0.01611, 5413s, 61ms/it)
  [iter 89500] loss=0.01370 (run 0.01607, 5443s, 61ms/it)
  [iter 90000] loss=0.01152 (run 0.01602, 5473s, 61ms/it)
  [iter 90500] loss=0.01004 (run 0.01598, 5503s, 61ms/it)
  [iter 91000] loss=0.01109 (run 0.01597, 5533s, 61ms/it)
  [iter 91500] loss=0.01328 (run 0.01593, 5563s, 61ms/it)
  [iter 92000] loss=0.01594 (run 0.01594, 5592s, 61ms/it)
  [iter 92500] loss=0.01625 (run 0.01589, 5622s, 61ms/it)
  [iter 93000] loss=0.01660 (run 0.01586, 5652s, 61ms/it)
  [iter 93500] loss=0.01062 (run 0.01582, 5682s, 61ms/it)
  [iter 94000] loss=0.01730 (run 0.01580, 5712s, 61ms/it)
  [iter 94500] loss=0.00945 (run 0.01578, 5741s, 61ms/it)
[epoch 11/20] loss=0.01578 iters=94567 (5745s)
  [iter 95000] loss=0.01124 (run 0.01556, 5771s, 61ms/it)
  [iter 95500] loss=0.01141 (run 0.01546, 5801s, 61ms/it)
  [iter 96000] loss=0.00855 (run 0.01547, 5831s, 61ms/it)
  [iter 96500] loss=0.01297 (run 0.01536, 5860s, 61ms/it)
  [iter 97000] loss=0.01179 (run 0.01532, 5890s, 61ms/it)
  [iter 97500] loss=0.01507 (run 0.01531, 5920s, 61ms/it)
  [iter 98000] loss=0.01222 (run 0.01524, 5950s, 61ms/it)
  [iter 98500] loss=0.02096 (run 0.01520, 5980s, 61ms/it)
  [iter 99000] loss=0.01773 (run 0.01513, 6010s, 61ms/it)
  [iter 99500] loss=0.01337 (run 0.01511, 6040s, 61ms/it)
  [iter 100000] loss=0.01505 (run 0.01508, 6069s, 61ms/it)
  [iter 100500] loss=0.01193 (run 0.01504, 6099s, 61ms/it)
  [iter 101000] loss=0.00895 (run 0.01499, 6129s, 61ms/it)
  [iter 101500] loss=0.01575 (run 0.01498, 6159s, 61ms/it)
  [iter 102000] loss=0.01470 (run 0.01496, 6189s, 61ms/it)
  [iter 102500] loss=0.02149 (run 0.01494, 6218s, 61ms/it)
  [iter 103000] loss=0.01357 (run 0.01492, 6248s, 61ms/it)
[epoch 12/20] loss=0.01492 iters=103164 (6258s)
  [iter 103500] loss=0.01183 (run 0.01446, 6278s, 61ms/it)
  [iter 104000] loss=0.01449 (run 0.01465, 6308s, 61ms/it)
  [iter 104500] loss=0.01508 (run 0.01455, 6337s, 61ms/it)
  [iter 105000] loss=0.01359 (run 0.01441, 6367s, 61ms/it)
  [iter 105500] loss=0.01366 (run 0.01433, 6397s, 61ms/it)
  [iter 106000] loss=0.01993 (run 0.01436, 6427s, 61ms/it)
  [iter 106500] loss=0.01673 (run 0.01433, 6457s, 61ms/it)
  [iter 107000] loss=0.01771 (run 0.01434, 6487s, 61ms/it)
  [iter 107500] loss=0.02193 (run 0.01431, 6517s, 61ms/it)
