=== train gdm_stride5.pt (faithful recipe, subgoal-step 5) ===
[cfg] {'subgoals': 'subgoals_dense_full.pt', 'out': 'gdm_stride5.pt', 'device': 'cuda', 'seed': 42, 'mask': '5', 'custom_mask_file': None, 'window_rule': 'clamp', 'subgoal_step': 5, 'latent_dim': 192, 'n_future': 3, 'wg': 1, 'hidden': 512, 'depth': 11, 'heads': 8, 'mlp_ratio': 4.0, 'goal_cond': False, 'goal_rule': 'final', 'goal_gap': None, 'goal_gap_max': None, 'timesteps': 1000, 'parameterization': 'eps', 'schedule': 'linear', 'min_snr_gamma': 0.0, 'sampler': 'ddim', 'normalization': 'standardize', 'epochs': 20, 'batch_size': 128, 'lr': 5e-05, 'weight_decay': 0.001, 'grad_clip': 1.0, 'lr_schedule': 'warmup_cosine', 'warmup_frac': 0.01, 'amp': True, 'ema_decay': 0.0, 'num_workers': 0, 'log_every': 500}
[data] mask=5deg: 9094 episodes used; 1100325 (cond,target) pairs; window_rule=clamp; file_stride=1 subgoal_step=5 => subgoal horizon = 5 frames
[norm] native ||z|| mean=13.81 (sqrt(D)=13.86); standardize per-dim (mean|.|=0.055, std mean=0.994)
[model] GDM (DiT) head params = 53.34M (hidden=512 depth=11 heads=8); diffusion T=1000 param=eps schedule=linear sampler=ddim norm=standardize min_snr_gamma=0.0
[sched] warmup_cosine: total_steps=171940 warmup=1719 peak_lr=5.0e-05 -> 0 (eta_min)
  [iter 94000] loss=0.01791 (run 0.01640, 5722s, 61ms/it)
  [iter 94500] loss=0.01055 (run 0.01637, 5752s, 61ms/it)
[epoch 11/20] loss=0.01637 iters=94567 (5756s)
  [iter 95000] loss=0.01196 (run 0.01622, 5783s, 61ms/it)
  [iter 95500] loss=0.01280 (run 0.01606, 5812s, 61ms/it)
  [iter 96000] loss=0.00867 (run 0.01609, 5843s, 61ms/it)
  [iter 96500] loss=0.01406 (run 0.01596, 5873s, 61ms/it)
  [iter 97000] loss=0.01191 (run 0.01592, 5903s, 61ms/it)
  [iter 97500] loss=0.02093 (run 0.01590, 5934s, 61ms/it)
  [iter 98000] loss=0.01191 (run 0.01582, 5964s, 61ms/it)
  [iter 98500] loss=0.01922 (run 0.01579, 5994s, 61ms/it)
  [iter 99000] loss=0.01689 (run 0.01570, 6025s, 61ms/it)
  [iter 99500] loss=0.01622 (run 0.01567, 6055s, 61ms/it)
  [iter 100000] loss=0.01390 (run 0.01563, 6085s, 61ms/it)
  [iter 100500] loss=0.01462 (run 0.01558, 6116s, 61ms/it)
  [iter 101000] loss=0.01110 (run 0.01553, 6146s, 61ms/it)
  [iter 101500] loss=0.01880 (run 0.01552, 6176s, 61ms/it)
  [iter 102000] loss=0.01328 (run 0.01549, 6206s, 61ms/it)
  [iter 102500] loss=0.02042 (run 0.01547, 6236s, 61ms/it)
  [iter 103000] loss=0.01584 (run 0.01544, 6266s, 61ms/it)
[epoch 12/20] loss=0.01544 iters=103164 (6276s)
  [iter 103500] loss=0.01199 (run 0.01490, 6296s, 61ms/it)
  [iter 104000] loss=0.01655 (run 0.01513, 6326s, 61ms/it)
  [iter 104500] loss=0.01762 (run 0.01504, 6357s, 61ms/it)
  [iter 105000] loss=0.01437 (run 0.01489, 6387s, 61ms/it)
  [iter 105500] loss=0.01466 (run 0.01478, 6417s, 61ms/it)
  [iter 106000] loss=0.01984 (run 0.01481, 6448s, 61ms/it)
  [iter 106500] loss=0.01741 (run 0.01479, 6478s, 61ms/it)
  [iter 107000] loss=0.02016 (run 0.01479, 6508s, 61ms/it)
  [iter 107500] loss=0.02508 (run 0.01477, 6539s, 61ms/it)
  [iter 108000] loss=0.01799 (run 0.01478, 6569s, 61ms/it)
  [iter 108500] loss=0.01396 (run 0.01475, 6600s, 61ms/it)
  [iter 109000] loss=0.02281 (run 0.01475, 6629s, 61ms/it)
  [iter 109500] loss=0.01428 (run 0.01472, 6659s, 61ms/it)
  [iter 110000] loss=0.01225 (run 0.01469, 6690s, 61ms/it)
  [iter 110500] loss=0.01457 (run 0.01468, 6720s, 61ms/it)
  [iter 111000] loss=0.01120 (run 0.01465, 6750s, 61ms/it)
  [iter 111500] loss=0.01419 (run 0.01464, 6781s, 61ms/it)
[epoch 13/20] loss=0.01462 iters=111761 (6797s)
  [iter 112000] loss=0.01579 (run 0.01388, 6811s, 61ms/it)
  [iter 112500] loss=0.01424 (run 0.01400, 6841s, 61ms/it)
  [iter 113000] loss=0.01102 (run 0.01415, 6872s, 61ms/it)
  [iter 113500] loss=0.00970 (run 0.01402, 6902s, 61ms/it)
  [iter 114000] loss=0.01783 (run 0.01399, 6932s, 61ms/it)
  [iter 114500] loss=0.01360 (run 0.01397, 6963s, 61ms/it)
  [iter 115000] loss=0.02094 (run 0.01399, 6993s, 61ms/it)
  [iter 115500] loss=0.00880 (run 0.01397, 7023s, 61ms/it)
  [iter 116000] loss=0.01800 (run 0.01395, 7054s, 61ms/it)
