file,header,env,subgoal,mode,n,seed,S,eval_filter,offset,budget,epfile,sr20,sr5,srq,call_ratio,tau,k
reacher_auditjob_2270818_3.log,audit lerp frac=0.25 seed=45 (native t25),reacher,lerp,,128,45,10,,25,50,,,,14.84,,,
reacher_auditjob_2270818_4.log,audit lerp frac=0.5 seed=42 (native t25),reacher,lerp,,128,42,10,,25,50,,,,69.53,,,
reacher_auditjob_2270818_5.log,audit lerp frac=0.5 seed=43 (native t25),reacher,lerp,,128,43,10,,25,50,,,,74.22,,,
reacher_auditjob_2270818_6.log,audit lerp frac=0.5 seed=44 (native t25),reacher,lerp,,128,44,10,,25,50,,,,74.22,,,
reacher_auditjob_2270818_7.log,audit lerp frac=0.5 seed=45 (native t25),reacher,lerp,,128,45,10,,25,50,,,,64.84,,,
reacher_auditjob_2270818_8.log,audit lerp frac=1.0 seed=42 (native t25),reacher,lerp,,128,42,10,,25,50,,,,95.31,,,
reacher_auditjob_2270818_9.log,audit lerp frac=1.0 seed=43 (native t25),reacher,lerp,,128,43,10,,25,50,,,,98.44,,,
reacher_frontier_tau0.1_k16_seed42.log,,reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t4.json,,,92.97,0.820,0.1,16
reacher_frontier_tau0.1_k16_seed43.log,,reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t5.json,,,92.97,0.816,0.1,16
reacher_frontier_tau0.1_k4_seed42.log,,reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t0.json,,,96.88,0.826,0.1,4
reacher_frontier_tau0.1_k4_seed43.log,,reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t1.json,,,95.31,0.849,0.1,4
reacher_frontier_tau0.1_k4_seed44.log,,reacher,specaccept,,128,44,10,,100,200,reacher_strong.ep100.t14.json,,,95.31,0.832,0.1,4
reacher_frontier_tau0.1_k4_seed45.log,,reacher,specaccept,,128,45,10,,100,200,reacher_strong.ep100.t15.json,,,96.09,0.842,0.1,4
reacher_frontier_tau0.1_k8_seed42.log,,reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t2.json,,,91.41,0.822,0.1,8
reacher_frontier_tau0.1_k8_seed43.log,,reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t3.json,,,95.31,0.824,0.1,8
reacher_frontier_tau0.2_k16_seed42.log,,reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t10.json,,,92.97,0.632,0.2,16
reacher_frontier_tau0.2_k16_seed43.log,,reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t11.json,,,92.19,0.643,0.2,16
reacher_frontier_tau0.2_k4_seed42.log,,reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t6.json,,,94.53,0.634,0.2,4
reacher_frontier_tau0.2_k4_seed43.log,,reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t7.json,,,96.88,0.641,0.2,4
reacher_frontier_tau0.2_k4_seed44.log,,reacher,specaccept,,128,44,10,,100,200,reacher_strong.ep100.t12.json,,,94.53,0.611,0.2,4
reacher_frontier_tau0.2_k4_seed45.log,,reacher,specaccept,,128,45,10,,100,200,reacher_strong.ep100.t13.json,,,96.09,0.624,0.2,4
reacher_frontier_tau0.2_k8_seed42.log,,reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t8.json,,,92.97,0.596,0.2,8
reacher_frontier_tau0.2_k8_seed43.log,,reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t9.json,,,93.75,0.621,0.2,8
reacher_frontier_tau0.3_k16_seed42.log,,reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t16.json,,,85.16,0.513,0.3,16
reacher_frontier_tau0.3_k16_seed43.log,,reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t17.json,,,88.28,0.515,0.3,16
reacher_frontier_tau0.3_k4_seed42.log,,reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t12.json,,,92.19,0.506,0.3,4
reacher_frontier_tau0.3_k4_seed43.log,,reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t13.json,,,96.09,0.528,0.3,4
reacher_frontier_tau0.3_k8_seed42.log,,reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t14.json,,,92.19,0.511,0.3,8
reacher_frontier_tau0.3_k8_seed43.log,,reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t15.json,,,91.41,0.523,0.3,8
reacher_frontier_tau0.4_k16_seed42.log,,reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t22.json,,,82.81,0.453,0.4,16
reacher_frontier_tau0.4_k16_seed43.log,,reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t23.json,,,87.50,0.459,0.4,16
reacher_frontier_tau0.4_k4_seed42.log,,reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t18.json,,,90.62,0.447,0.4,4
reacher_frontier_tau0.4_k4_seed43.log,,reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t19.json,,,89.84,0.476,0.4,4
reacher_frontier_tau0.4_k8_seed42.log,,reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t20.json,,,89.84,0.452,0.4,8
reacher_frontier_tau0.4_k8_seed43.log,,reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t21.json,,,90.62,0.461,0.4,8
reacher_frontierjob_2270577_0.log,"frontier: s10spec tau=0.1 k=4 seed=42 (t100, budget 200)",reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t0.json,,,96.88,0.826,0.1,4
reacher_frontierjob_2270577_1.log,"frontier: s10spec tau=0.1 k=4 seed=43 (t100, budget 200)",reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t1.json,,,95.31,0.849,0.1,4
reacher_frontierjob_2270577_10.log,"frontier: s10spec tau=0.2 k=16 seed=42 (t100, budget 200)",reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t10.json,,,92.97,0.632,0.2,16
reacher_frontierjob_2270577_11.log,"frontier: s10spec tau=0.2 k=16 seed=43 (t100, budget 200)",reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t11.json,,,92.19,0.643,0.2,16
reacher_frontierjob_2270577_12.log,"frontier: s10spec tau=0.3 k=4 seed=42 (t100, budget 200)",reacher,specaccept,,128,42,10,,100,200,reacher_horizon.ep.frontier.t12.json,,,92.19,0.506,0.3,4
reacher_frontierjob_2270577_13.log,"frontier: s10spec tau=0.3 k=4 seed=43 (t100, budget 200)",reacher,specaccept,,128,43,10,,100,200,reacher_horizon.ep.frontier.t13.json,,,96.09,0.528,0.3,4
