rel,accepted,ee_dist
0.090619,1,0.217462
0.109938,1,0.331399
0.109104,1,0.265875
0.120097,1,0.316425
0.109469,1,0.184947
0.086845,1,0.247526
0.085824,1,0.067303
0.066131,1,0.194099
0.073722,1,0.157757
0.078718,1,0.029714
0.079943,1,0.174580
0.085014,1,0.244470
0.067515,1,0.211624
0.108789,1,0.064719
0.062237,1,0.049676
0.096655,1,0.235647
0.111884,1,0.154966
0.081818,1,0.234652
0.059035,1,0.031375
0.117989,1,0.163129
0.140745,1,0.096338
0.083733,1,0.149833
0.060899,1,0.007123
0.104771,1,0.080406
0.133789,1,0.014692
0.086208,1,0.150737
0.090799,1,0.259301
0.085269,1,0.228930
0.066271,1,0.046634
0.103057,1,0.206689
0.085638,1,0.147513
0.089732,1,0.119329
0.098380,1,0.247872
0.097092,1,0.204467
0.100625,1,0.209513
0.116629,1,0.055473
0.061416,1,0.200769
0.089572,1,0.173127
0.069394,1,0.145813
0.089492,1,0.041430
0.098792,1,0.159774
0.074517,1,0.185190
0.112582,1,0.061714
0.078766,1,0.044401
0.098416,1,0.077337
0.085005,1,0.229630
0.064188,1,0.095796
0.140647,1,0.251223
0.110568,1,0.242114
0.057466,1,0.047805
0.066196,1,0.000000
0.161516,1,0.032728
0.092099,1,0.003603
0.123694,1,0.016484
0.086088,1,0.002172
0.075202,1,0.007983
0.064100,1,0.001905
0.228274,0,0.031377
0.165323,1,0.011366
0.171248,1,0.031771
0.133696,1,0.031434
0.082760,1,0.001207
0.145142,1,0.011315
0.171248,1,0.031771
0.083276,1,0.007784
0.250396,0,0.034952
0.086447,1,0.016810
0.105895,1,0.000394
0.071006,1,0.007784
0.085403,1,0.003583
0.064503,1,0.005688
0.162922,1,0.016479
0.124155,1,0.008759
0.076874,1,0.000000
0.083075,1,0.007784
0.120641,1,0.008800
0.075437,1,0.007089
0.178428,1,0.014859
0.178428,1,0.014859
0.099419,1,0.008800
0.102242,1,0.000000
0.122495,1,0.001693
0.091251,1,0.001929
0.116264,1,0.011328
0.129375,1,0.018294
0.097463,1,0.016677
0.085497,1,0.008799
0.164310,1,0.007791
0.117123,1,0.004830
0.108948,1,0.016509
0.100249,1,0.001929
0.116264,1,0.011328
0.143885,1,0.031574
0.103600,1,0.005340
0.093926,1,0.003603
0.108948,1,0.016509
0.131295,1,0.000324
0.251621,0,0.037473
0.152171,1,0.024599
0.061508,1,0.001912
0.260784,0,0.420212
0.085946,1,0.020137
0.052887,1,0.001188
0.215924,0,0.200474
0.162948,1,0.110601
0.107911,1,0.125015
0.166033,1,0.150052
0.120028,1,0.077957
0.266682,0,0.422151
0.267622,0,0.420145
0.238606,0,0.282000
0.139476,1,0.134465
0.075098,1,0.000310
0.258855,0,0.423285
0.269443,0,0.422833
0.165339,1,0.117191
0.199277,1,0.300409
0.248886,0,0.401885
0.251668,0,0.357533
0.187794,1,0.203445
0.217588,0,0.242726
0.076104,1,0.000729
0.177276,1,0.126148
0.256730,0,0.421996
0.250338,0,0.294012
0.252605,0,0.392141
0.151847,1,0.125767
0.112794,1,0.054635
0.058629,1,0.000338
0.136518,1,0.073317
0.124534,1,0.053000
0.176279,1,0.170349
0.248929,0,0.420596
0.070363,1,0.007842
0.269360,0,0.422621
0.172380,1,0.175836
0.074604,1,0.019779
0.247568,0,0.358884
0.070448,1,0.024139
0.262189,0,0.422195
0.255161,0,0.419504
0.170725,1,0.150384
0.266262,0,0.423153
0.093522,1,0.015600
0.241295,0,0.348963
0.264205,0,0.401951
0.055062,1,0.002196
0.273831,0,0.418130
0.248544,0,0.422766
0.261537,0,0.421953
0.091169,1,0.041814
0.276642,0,0.093713
0.091814,1,0.086110
0.198091,1,0.149107
0.134608,1,0.146759
0.108721,1,0.158423
0.124326,1,0.203718
0.113863,1,0.063313
0.113938,1,0.127605
0.091464,1,0.035479
0.109125,1,0.154709
0.145803,1,0.133149
0.193801,1,0.186851
0.114986,1,0.081435
0.096696,1,0.134321
0.155085,1,0.387838
0.105463,1,0.089633
0.116321,1,0.092566
0.181766,1,0.180629
0.190485,1,0.188880
0.161256,1,0.151267
0.131102,1,0.294626
0.147909,1,0.156210
0.095330,1,0.110301
0.109246,1,0.198781
0.267842,0,0.300085
0.115424,1,0.078667
0.180754,1,0.343687
0.113863,1,0.063313
0.163490,1,0.084336
0.088714,1,0.095945
0.177083,1,0.083697
0.193014,1,0.118023
0.127624,1,0.110808
0.156833,1,0.148295
0.101941,1,0.029262
0.168521,1,0.145559
0.139653,1,0.101603
0.136747,1,0.192137
0.102600,1,0.206438
0.088797,1,0.019327
0.115167,1,0.093010
0.129888,1,0.063265
0.112514,1,0.158469
0.119991,1,0.099950
0.117834,1,0.078368
0.145290,1,0.335515
0.157378,1,0.102645
0.125624,1,0.255761
0.184869,1,0.178721
0.111263,1,0.221124
0.076966,1,0.011998
0.098207,1,0.225838
0.099907,1,0.387587
0.110246,1,0.062732
0.109006,1,0.319230
0.107358,1,0.257364
0.121336,1,0.531845
0.112723,1,0.560585
0.116592,1,0.177578
0.095261,1,0.273843
0.118345,1,0.305124
0.087539,1,0.000006
0.117656,1,0.326312
0.099288,1,0.316115
0.088816,1,0.073865
0.124516,1,0.180647
0.161934,1,0.255842
0.109902,1,0.312786
0.124726,1,0.247306
0.116480,1,0.127385
0.059420,1,0.043866
0.133707,1,0.211381
0.096580,1,0.219774
0.100341,1,0.266234
0.088829,1,0.207843
0.100419,1,0.292544
0.159125,1,0.241722
0.118455,1,0.558244
0.131427,1,0.258811
0.087539,1,0.000006
0.118094,1,0.350314
0.111084,1,0.347059
0.119717,1,0.538115
0.155003,1,0.254208
0.076109,1,0.075740
0.161755,1,0.319333
0.150156,1,0.232869
0.134308,1,0.292973
0.116889,1,0.290546
0.087627,1,0.196962
0.119711,1,0.187903
0.075527,1,0.057701
0.092466,1,0.290624
0.114337,1,0.313143
0.107304,1,0.323459
0.107256,1,0.196135
0.161420,1,0.279005
0.053679,1,0.006993
0.122128,1,0.409187
0.091290,1,0.081246
0.180185,1,0.145855
0.142668,1,0.107611
0.120723,1,0.100886
0.156070,1,0.244228
0.058032,1,0.005940
0.071627,1,0.012241
0.115864,1,0.195262
0.091542,1,0.016248
0.115340,1,0.088747
0.143687,1,0.101577
0.149106,1,0.124005
0.167369,1,0.177128
0.153338,1,0.092152
0.073713,1,0.054052
0.122152,1,0.237275
0.102579,1,0.092658
